News Title,News Link,Publish Date,Description,Report Type,Accident Date,Time,Killed,Injured,Location,Road_Characteristic,Pedestrian_Involved,Vehicles Involved
A young man died in a road accident on his way back from a wedding ceremony,https://www.prothomalo.com/bangladesh/wnl3ju2twy,28-09-2024,"&lt;p&gt;A youth died in a collision between a motorcycle and a pickup van in Raujan, Chittagong. His name is Tauhidul Islam. He is the son of late Ayub Ali of Sambali house of Ward No. 4 of Noapara Union of Upazila. The accident took place in the Noapara College area of ​​the Chittagong-Kaptai road of the upazila at around one o'clock on Friday. &lt;/p&gt;.&lt;p&gt;According to local residents, the deceased Touhidul was a student of the private National Polytechnic Institute of Chittagong. He went to attend a wedding ceremony in Noapara area of ​​the upazila last night. He was returning from there on a motorcycle with a friend. Their motorcycle actually collided with a pickup van coming from the opposite direction in Nowapara College area of ​​Patherhat area. At that time, two fell from the motorcycle. Touhidul was taken to Chittagong Medical College Hospital with severe head injuries and the doctor declared him dead.&lt;/p&gt; Touhidul's body was buried in the family cemetery after Zohar prayer on Saturday. &lt;/p&gt; However, nothing has been reported from the family of the deceased.'&lt;/p&gt;",Specific,27-09-2024, 01:00,1,0," Noapara College area, Raujan, Chittagong", Chittagong-Kaptai road, No,Motorcycle-Pickup van
Even death could not separate the two friends,https://www.prothomalo.com/bangladesh/wohdwjnrui,28-09-2024,"&lt;p&gt;Motorcyclist Shahidul Islam (23) who was hit by a truck in Raujan of Chittagong succumbed to death. He died at Chittagong Medical College Hospital while undergoing treatment on Friday night. Earlier on Friday morning, a truck hit the motorcycle carrying Shahidul and his friend Minhajur Rahman Chowdhury (23) in Gahira area of ​​Raujan on Chittagong-Rangamati road. Minhazur Rahman died on the spot. Later that night Shahidul also died while under treatment.&lt;/p&gt;&lt;p&gt; Shahidul and Minhajur's house is in Satgharia Para village, ward number 8 of Rangunia upazila. There is an atmosphere of mourning in the area due to the death of two friends. Villagers say their words. From childhood, they grew up together and moved. Even death could not separate them.&lt;/p&gt;.&lt;p&gt;Talking to the family and local residents, it is known that last Thursday night, Minhajur and his friend Shahidul went to Maijbhandar Durbar in Fatikchari upazila on a motorcycle. On their way back early the next morning, a truck coming from the opposite direction hit their motorcycle in Gahira area. At that time, two motorcyclists fell on the road and were seriously injured. When they were rescued and taken to Raujan Upazila Health Complex, the doctor on duty declared Minhajur dead. The injured Shahidul died at the Chittagong Medical College Hospital at around 11 pm. A few months ago he came to the country on vacation. He was scheduled to return to the UAE on October 6. Such a calamity in the family threw everything into disarray for him. The expatriate father cannot accept the death of his son. He said, 'Minhajur has a one and a half year old daughter. He became an orphan before he knew his father properly. After the funeral at three o'clock yesterday, Minhajur Rahman's body was buried in the family cemetery. &lt;/p&gt;.&lt;p&gt;Minhajur's friend Shahidul worked as a sales employee of a food distribution company. His father Khorshed Alam said that the body was buried after the janaza of Shaheedul at around 11 o'clock today. Handed over to family.&lt;/p&gt;",Specific,27-09-2024, Early morning,2,0," Gahira area of Raujan, Chittagong", Chittagong-Rangamati road, No,Truck-Motorcycle
Not one of the 38 pedestrian-bridges at dangerous intersections,https://www.prothomalo.com/bangladesh/g9oppv5ac3,27-09-2024,"&lt;p&gt;Gate No. 2 is one of the busiest junctions in Chittagong city. Every day, thousands of people risk crossing the road through the crossroads. Chittagong City Corporation has taken the initiative of constructing two footover bridges at the intersection for safe crossing. On September 25 of last year, the foundation stone of the construction work was laid by the then mayor Md. Rezaul Karim Chowdhury. A year has passed but still the work has not started. It remains a risk to pedestrians crossing the road. &lt;/p&gt;&lt;p&gt;The city corporation took the initiative to construct 38 pedestrian-bridges at 31 busiest junctions and areas of the city, including gate number 2. But three and a half years have passed since the approval of the project, but the work of 27 has not started. The work of 11 has started but none of them have been completed. The work of four has been stopped in the middle.&lt;/p&gt;&lt;p&gt;Due to the mismanagement of the road, Chittagong city has become dangerous for pedestrians to cross the road and move. According to the report published in September last year on the road safety of Chittagong city, 263 people lost their lives in road accidents in the city in three years (2020-23). 56 percent of them were pedestrians. Chittagong City Corporation, Chittagong City Police and Vital Strategies, in collaboration with the Bloomberg Philanthropies Initiative for Global Road Safety (BIGRS), released this report on the city's safe roads. ;/strong&gt;&lt;/p&gt;&lt;p&gt;38 pedestrian-bridges were supposed to be constructed under the project titled 'Different road development and important infrastructure development including airport road under Chittagong City Corporation'. On January 4, 2022, the project was approved by the Executive Committee of the National Economic Council (ECNEC). The total cost of the project is estimated at 2 thousand 490 crore 96 lakh 69 thousand taka. Out of this, 58 crores have been allocated for the construction of footbridges. The project is scheduled to expire on December 31 this year. However, on June 5, the period was extended for another two years.&lt;/p&gt;&lt;p&gt; According to City Corporation sources, the development project proposal (DPP) mentions that 11 pedestrian-bridges will be constructed on the road from Lalkhan Bazar to Patenga Seashore in the city. was done Two pedestrian-bridges will be constructed at Tigerpass, GEC, Sholoshahar Gate 2, Oxygen, Bahaddarhat, Alankar and City Gate junctions. &lt;/p&gt;&lt;p&gt;Besides Lalkhanbazar, Dewanhat, Chaumuhani, Badamtali, Barik Building, Nimtala, Saltgola Crossing",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Expatriate youth died in a road accident while coming home on vacation,https://www.prothomalo.com/bangladesh/district/g8ua59cf4n,27-09-2024,"&lt;p&gt;A motorcycle rider died after being hit by a truck in Raujan Upazila of Chittagong. His name is Minhaj Rahman (23). He is the son of Mofiz Chowdhury of Sataghiapara of Rajanagar Union of Rangunia Upazila. The accident took place on Chittagong-Rangamati road in Gahira area of ​​Raujan on Friday morning. One more person was injured in the same accident. &lt;/p&gt;.&lt;p&gt; According to family and local residents, last Thursday night Md. Minhaj went to Maijbhandar Darbar in Phatikchari upazila with a friend named Shahid. On the way back from there in the early morning, a truck coming from the opposite direction hit their motorcycle. At that time, two motorcyclists fell on the road and were seriously injured. When they were rescued and taken to Raujan Upazila Health Complex, the doctor on duty declared Minhaj dead. Md. Under treatment at Shaheed Hospital.&lt;/p&gt;.&lt;p&gt;Minhaj Rahman is a resident of UAE. A few months ago he came to the country on vacation. He was scheduled to return to the UAE on October 6. Minhaj Rahman has a three-year-old daughter. The body of Minhaj was buried in the family cemetery after the funeral at three o'clock. &lt;/p&gt;&lt;p&gt;Obaidul Haque, officer in charge of Raujan Highway Police Station, confirmed the death of Minhaj Rahman in the accident. He said, on the request of the family, the body of the deceased Minhaj has been allowed to be buried without post-mortem.&lt;/p&gt;",Specific,27-09-24, early morning,1,1," Chittagong-Rangamati road, Gahira area, Raujan Upazila, Chittagong", road, no,Motorcycle-Truck
"""It's been hard to come this far, now it's all over""",https://www.prothomalo.com/bangladesh/district/4ub49je5bh,26-09-2024,"&lt;p&gt;'I give Kamala the next house. He (Monir) used to lead the mosque and earned four thousand rupees a month. There was also a tuition. On days when I didn't have work, I used to take money from him. And sometimes I used to give it to him. It was hard to come this far. Now everything is dry.''&lt;/p&gt;&lt;p&gt;Billal Hossain, father of Islamic University student Monir Hossain (20), who died in a road accident, was speaking at a shop in Holbazar area of ​​Kumarkhali upazila of Kushtia on Thursday. Their house is in Khyerchara area of ​​Kumarkhali Municipality. &lt;/p&gt;.&lt;p&gt;Billal Hossain said, 'I have no complaint. His forehead was written till now. He said that his son Monir was a very good person. Wanted to be Maulana. But he wanted Monir to get a job after completing his studies. Take hold of the world of hardship. The younger son used to say, 'Brother, one day you will get a job and buy Punjabi.'&lt;/p&gt;&lt;p&gt;It is known that Monir Hossain Kumarkhali completed Dakhil and Alim from Fazil Madrasa and enrolled in Arabic language and literature department of Islamic University in 2022-23 academic year. be A Mahindra car collided head-on with a drum truck in the Kalurmor area of ​​Kumarkhali on the Kushtia-Rajbari regional highway last Wednesday afternoon. A police sub-inspector named Shahidul Islam was killed along with the student. Seven people were injured in the accident and are undergoing treatment in the hospital. Monir was returning home after completing his university classes.&lt;/p&gt;.&lt;p&gt;Apart from his studies, Monir was the imam of Tebaria Three Dome Mosque in Kumarkhali. Mother Manjura Khatun is a housewife. Monir is the eldest among four siblings. One of the two younger sisters is married. Another sister Rumana Khatun is in class 10 and younger brother Hossain is in class 1.&lt;/p&gt;&lt;p&gt;Billal Hossain, Monir's father said, there are two small tin shed houses in the homestead of 16 percent land. He did that a few days ago. Little by little Monir gave half of it. There is no land in the field. Monir used to support the family by providing imam and tuition.&lt;/p&gt;.&lt;p&gt;Billal said about the accident, 'I have no complaint. There is no demand. What was on the forehead, happened. I will not oppress. If someone (trakmalik) gives something willingly, I will accept it. Monir was buried at Tebaria Social Cemetery around 11 o'clock today.'&lt;/p&gt;&lt;p&gt; Shafiqul Alam, a businessman resident of Khyerchara village, said Monir was the best son in the area. Only university education",Specific,25-09-2024, Afternoon,2,7, Kalurmor area of ​​Kumarkhali on the Kushtia-Rajbari regional highway, Regional highway, No,Mahindra car - drum truck
"In Ramu District Commissioner's car collided with a motorcycle, pedestrian child died",https://www.prothomalo.com/bangladesh/district/o43ft6ac0z,26-09-2024,"&lt;p&gt;A motorcycle collided with the Deputy Commissioner's car at Ramu in Cox's Bazar. A pedestrian child and his mother were crushed by the motorcycle. The child died in this incident. His mother was seriously injured.&lt;/p&gt;&lt;p&gt;The name of the child killed in the accident is Mohammad Tanzim (2). He is the son of Mohammad Shaheen of Saderpara, South Mithachari Union of Ramu Upazila. The child's mother Rubina Akhtar (32) was seriously injured in the incident. The incident took place at Kaimmaryarghona area of ​​Dakshin Mitachhari Union of Ramu Upazila at 9:30 am on Thursday. &lt;/p&gt; When the vehicle carrying them reached Kaimmaryghona area of ​​Ramu Upazila, it collided with a speeding motorcycle. The motorcycle twisted and fell on the pedestrian mother and child. The mother and child were seriously injured in the incident. Later, the Deputy Commissioner rescued the injured people in a car with the help of local people and took them to Cox's Bazar District Headquarters Hospital. At that time, the doctor on duty at the hospital declared the child dead. &lt;/p&gt;&lt;p&gt; The district administrator also said, 'The motorcycle involved in the accident was on the right side of the car carrying us. But the motorcycle suddenly turned left at a reckless speed and collided with our car. This accident has occurred. Local administration will be with the family of the victim said Deputy Commissioner Mohammad Salahuddin. &lt;/p&gt;.&lt;p&gt;Resident Medical Officer (RMO) of Cox's Bazar District Sadar Hospital. Ashikur Rahman told Prothom Alo that the child died before being brought to the hospital. His mother's condition is critical and has been sent to Chittagong Medical College Hospital for better treatment.&lt;/p&gt;",Specific,26-09-2024, 9:30 am,1,1, Kaimmaryarghona area of Dakshin Mitachhari Union of Ramu Upazila, Not specified, Yes,Motorcycle-Car
Three women were killed when a bus carrying workers was hit by a truck in Manikganj,https://www.prothomalo.com/bangladesh/district/lc6lnu44yn,26-09-2024,"&lt;p&gt;Three women were killed in a collision between a bus carrying garment workers and a goods truck in Manikganj's Shivalay. At least 20 workers were injured. The accident took place at Bowali area of ​​Dhaka-Aricha highway on Thursday morning.&lt;/p&gt;&lt;p&gt;The deceased garment workers are Bithi Akhtar (28), wife of Iqbal Hossain of Narayan Teota village of Shivaloy Upazila, Fuli Akhtar (28), wife of Abdul Baten of Samejghar Teota village. 32) and Sabina Akhter (20) daughter of Ayub Ali of the same village. The police recovered their bodies and sent them to the Shivalay Upazila Health Complex. &lt;/p&gt;.&lt;p&gt; According to the Barangail Highway Police Outpost and local sources, the bus carrying garment workers left from Aricha Ghat area of ​​Shivalay towards the factory at around 7:30 this morning. All of them are workers of a garment factory named Tarasima Apparels Limited in Nayadingi area of ​​Saturia upazila of Manikganj. They left for work. Later this morning at around seven in the morning, the bus collided with a goods truck in Bowali area of ​​Dhaka-Aricha highway. Most of the right side of the bus was twisted and the truck overturned in the water. In this incident, two women workers in the bus were killed on the spot. Apart from this, another female worker died on the way to the local upazila health complex. At least 20 workers were injured in the incident. They have been sent to Upazila Health Complex, District Headquarters Hospital and Munnu Medical College Hospital. The condition of some of them is critical, said the police of Barangail highway outpost. &lt;/p&gt;.&lt;p&gt; Shammi Akhter, the doctor on duty at the emergency department of Shivaloy Upazila Health Complex Hospital, said that the actual number of injured patients has not yet been determined. However, so far more than 20 patients have been advised to be taken to the district headquarters hospital for first aid. &lt;/p&gt;&lt;p&gt; Deputy Inspector (SI) of Barangayal Highway Outpost Anwar Hossain said that preparations are underway for a case at the local police station.&lt;/p&gt; ;",Specific,26-09-2024, around 7:30 in the morning,3,20," Bowali area of Dhaka-Aricha highway, Manikganj's Shivalay", Highway, No,Bus-Truck
A student of Islami University was killed in a truck-Mahindra collision,https://www.prothomalo.com/bangladesh/district/767hs8ieg4,25-09-2024,"&lt;p&gt;A student of Islami University and an SI of Daulatpur police station were killed in a head-on collision between a dump truck and a passenger Mahindra at Kumarkhali in Kushtia. At least seven people were injured in this incident. The accident took place at Balur field area of ​​Nandalalpur union of Kumarkhali upazila on Kushtia-Rajbari regional highway today on Wednesday.&lt;/p&gt;&lt;p&gt; The name of the deceased student is Monir Hossain (22). He is the son of Billal Hossain of Jhautla area of ​​Sadaki union of Kumarkhali upazila. He was a graduate (honours) student of the 2022-23 academic year of the Department of Arabic Language and Literature at Islami University. In the same accident, the SI of Daulatpur police station was named Shahidul Islam.&lt;/p&gt;.&lt;p&gt;The injured persons are Asadul Islam (60) of Shilaidah village of Kumarkhali upazila, Arman (60) of Char Chapra village and his wife Maleka Khatun (45), Sherkandi. Hasen Ali (60) of the village, Mamtaz Begum (40) wife of Feroz Hossain of Gosaidangi village of Khoksa upazila, Ruhul (19) of Satbaria village of Bheramara upazila and Riazul Islam (30) son of Abdul Hakim.&lt;/p&gt;.&lt;p&gt;Kushtia Chaudhas According to highway police and eyewitness sources, this afternoon at Kalur Mor area of ​​Kumarkhali, a passenger Mahindra leaving from Kushtia collided head-on with a dump truck coming from the direction of Rajbari. &lt;/p&gt;.&lt;p&gt;This makes the Mahindra twitch. 9 passengers including the driver were seriously injured. Later local people rescued them and took them to Kushtia General Hospital. Students Monir Hossain and Shahidul Islam died while undergoing treatment there.&lt;/p&gt;&lt;p&gt; Professor Naqeeb Mohammad Nasrullah joined Kushtia Islami University as Vice-Chancellor on Tuesday. After hearing the news that the university student was killed on Wednesday, he rushed to the Kushtia General Hospital to see the body of the student. 9 people were seriously injured and they were sent to the hospital. &lt;/p&gt;&lt;p&gt; Kushtia Chaudhary Highway Police Officer-in-Charge Akul Chandra Biswas said that a student of Islami University was killed in a head-on collision between a dump truck and a Mahindra. Several people, including a police SI, were injured in the accident and are undergoing treatment at the hospital. The truck and the Mahindra have been impounded. Legal action will be taken in this regard.&lt;/p&",Specific,25-09-2024,3pm,2,7," Kumarkhali, Kushtia", Kushtia-Rajbari regional highway, No,Dump truck-Passenger Mahindra
2 killed in jhenaidhe mini truck hit behind truck,https://www.prothomalo.com/bangladesh/district/6yyio1fnu1,24-09-2024,"&lt;p&gt;Two people were killed when another mini truck hit the back of the truck in Jhenaidah Sadar. One person was injured. The accident took place in Sadhuhati junction area of ​​Jhenaidah-Chuadanga road on Tuesday morning.&lt;/p&gt;&lt;p&gt;The persons killed in the accident are Anichur Rahman (65) of Bara-Kaunia village of Salta Upazila of Faridpur and Farukh Matubbar (45) of Bhawal village. An injured person named Matiar Rahman was rescued and admitted to Sadar Hospital.&lt;/p&gt;.&lt;p&gt;According to the sources of eyewitnesses and fire service members, four people including the driver were going to Meherpur from Faridpur via Jhenaidah in a mini truck at around five in the morning. . On reaching the spot, the mini truck hit the back of another truck. Two were killed on the spot and another was injured. The driver left the truck and fled immediately after the accident. The injured persons were going to Meherpur from Bhawal area of ​​Faridpur to buy bananas.&lt;/p&gt;.&lt;p&gt;Inspector of Jhenaidah Fire Service Tanveer Hasan said that the injured person was rescued and sent to Sadar Hospital. The bodies of the deceased have been handed over to the police.&lt;/p&gt;",Specific,24-09-2024,5am,2,1," Sadhuhati junction area, Jhenaidah-Chuadanga road", Road, No,Mini truck-Truck
"The driver pushed the pedestrian and dragged him for a kilometer, setting fire to the bus",https://www.prothomalo.com/bangladesh/district/kmiix37dyi,23-09-2024,"&lt;p&gt;Dhaka-Mymensingh highway, a woman pedestrian was killed by a passenger bus in Bordbazar area of ​​Gazipur metropolis. After pushing the woman, the driver drove the bus for about one kilometer while the woman was stuck behind the bus, witnesses said. Later local people stopped the bus and set it on fire. At that time, another pedestrian was injured in the bus. The police could not immediately confirm the identity of the two dead and injured.&lt;/p&gt;.&lt;p&gt;Police and witnesses said that several factory workers were crossing the road in front of Lavang restaurant in Bordbazar area of ​​Gazipur metropolis. At that time, a passenger bus of Uzanbhati Paribahan lost control while heading towards Dhaka and crushed the two. A woman got stuck behind the bus after being pushed. The bus dragged the trapped woman for about a kilometer. Later, people chased and intercepted the bus near Barabari area. They rescued the woman and admitted her to a local private hospital. At that time, the excited crowd threw the passengers off the bus and set it on fire. Nazrul Islam, a resident of Board Bazar area, said that the bus hit some pedestrians while driving. Among them, a woman was dragged behind the car and taken one and a half kilometers away. &lt;/p&gt;&lt;p&gt; Ali Mohammad Rashed, officer-in-charge of Gacha Police Station of Gazipur Metropolitan Police, said that the woman died after being taken to the hospital. His identity could not be immediately confirmed. The fire service was informed after receiving information about the fire in the bus. Apart from this, police have been sent to the spot.&lt;/p&gt;",Specific,23-09-2024,9am,1,1, Bordbazar area of Gazipur metropolis, Dhaka-Mymensingh highway, Yes,Bus
Battery-powered rickshaws on the Dhaka-Chittagong highway,https://www.prothomalo.com/photo/bangladesh/qgzhplh093,23-09-2024,"&lt;p&gt;Battery-powered rickshaws and auto-rickshaws are becoming reckless day by day on Dhaka roads. These vehicles, which used to run in the streets of the capital, are now running on the highway. Accidents occur regularly due to the movement of these rickshaws and auto-rickshaws, sometimes in parallel with large vehicles, sometimes in the opposite direction. The story of this film with images of different areas of the capital including the Dhaka-Chittagong highway.&lt;/p&gt;",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2 killed in separate road accidents in the capital,https://www.prothomalo.com/bangladesh/capital/ejojakvowt,22-09-2024,"&lt;p&gt;Two persons were killed in a road accident in the capital. Yesterday, Saturday night, two incidents happened at separate places.&lt;/p&gt;&lt;p&gt;Sanitary businessman was killed by a truck while crossing the road at Kajla in Jatrabari Farooq Hossain (45).&lt;/p&gt;&lt;p&gt;Suman Khan (24), a battery-operated rickshaw driver, was killed after being hit by a truck in Baganbari area of ​​Kamrangirchar.&lt;/p&gt;&lt;p&gt;Jatrabari Police Station Deputy Inspector (SI) Sifat Ahmed said , Farooq was returning home after work on Saturday around 12:15. A speeding truck hit him while crossing the road. He fell on the road and got seriously injured.&lt;/p&gt;.&lt;p&gt;Relatives on hearing the news rescued him and took him to the emergency department of Dhaka Medical College Hospital around 1:15 AM. There he was declared dead by the doctor on duty. Police seized the truck in this incident. The driver is absconding. Farooq's body has been kept at Dhaka Medical College morgue for post-mortem. Hospital sources said that Farooq's village home is Syedpur village of Munshiganj Sadar Upazila. Father's name is Abdul Motaleb. He lived in a rented house in Kajla area of ​​the capital. &lt;/p&gt;&lt;p&gt; Ismail Hossain, the cousin of Sumon who was killed in Kamrangirchar, said that Sumon's rickshaw broke down on the road in Baganbari area yesterday around nine o'clock on Saturday night. He was fixing the rickshaw on the road. At that time, a speeding truck from behind hit him. He was seriously injured. He was taken to the emergency department of Dhaka Medical College Hospital around 3:30 p.m. He was declared dead in the hospital.&lt;/p&gt;.&lt;p&gt;Dhaka Medical College Hospital Police Camp Inspector Farooq said, Suman's body has been kept in the college morgue. The matter has been reported to the concerned police station. &lt;/p&gt;&lt;p&gt; According to hospital sources, Suman's village home is in Nabunchar Daulatkha village of Kalkini upazila of Madaripur. Father's name is Md. Belal Khan. Suman lived in the capital's Kamrangirchar area.&lt;/p&gt;",specific,21-09-2024, 12:15 AM,1,0, Kajla in Jatrabari, Road, Yes,Truck
"Truck driver killed in road accident in Banani, Dhaka",https://www.prothomalo.com/bangladesh/capital/3v26g4lhju,20-09-2024,"&lt;p&gt;A truck driver named Liton Chandra Bhawal (45) died in a road accident in Banani of the capital. His assistant was seriously injured in the incident. The accident took place on Thursday night yesterday. &lt;/p&gt;&lt;p&gt;Police say that Liton Chandra Bhawal hit the truck standing on the side of the road in Kakali area around two o'clock yesterday night. Litton was seriously injured. Later, he was rescued and taken to the emergency department of Dhaka Medical College Hospital at around three o'clock in the morning. The doctor declared him dead. &lt;/p&gt; Mujibur Rahman told Prothom Alo, after the autopsy, the dead body has been handed over to the relatives. &lt;/p&gt;&lt;p&gt;Police said that Liton Chandra Bhawal's house is in Islampur area of ​​Jamalpur district. His father's name is Piyush Chandra Bhawal.&lt;/p&gt;",Specific,19-09-2024, 02:00,1,1," Kakali area, Banani, Dhaka", Side of the road, No,Truck-Truck
The imam who was celebrated for 4 decades of imamate died in a road accident while going to Makkah to perform Umrah.,https://www.prothomalo.com/bangladesh/district/e8qyyq6qat,20-09-2024,"&lt;p&gt;Kishorganj's Pakundia imam, who was welcomed by the villagers for four decades without money, was killed in a road accident in the holy city of Makkah while performing Umrah (Inna Lillahi wa Inna Ilaihi Raziun). The name of the deceased is Maulana Md. Sirajul Islam (76).&lt;/p&gt;&lt;p&gt; Sirajul Islam was a resident of Madhya Tarakandi village of Zangalia Union of Pakundia Upazila. He was the imam of Tarakandi Akand Bari Jame Masjid. He retired in March last year due to old age at the age of 75 after serving as Imam for 48 years. For nearly four decades, he had performed imam without money, and the villagers gave him a grand welcome at the time of his farewell. The youth of the village even delivered Sirajul home on a motorcycle. The issue received a lot of response in the area. A pictorial report was published in Prothom Alo on March 5 last year. &lt;/p&gt;.&lt;p&gt;Sirajul Islam was the imam of the historic Tarakandi Eidgah field. Was the former super (head teacher) of Pakundia Charfaradi Dakhil Madrasa and the president of the governing body of Tarakandi Senior Fazil Madrasa.&lt;/p&gt;&lt;p&gt;Family sources said that Maulana Sirajul Islam was killed on the spot in a road accident near the Prophet's house in Makkah, Saudi Arabia while performing Umrah. be On September 15 (Sunday) around 9:30 a.m. Bangladesh time, he was hit by a car while crossing the road while walking. The previous day he had gone to Saudi Arabia to perform the holy Umrah. He left behind many relatives and well-wishers, including his wife, three sons and five daughters. &lt;/p&gt;.&lt;p&gt; Sirajul Islam's younger son Akiqul Islam told Prothom Alo that the police immediately identified his father as he did not have a passport and visa while crossing the road. could not Later, the police reported the matter to the Hajj agency on Thursday afternoon after being identified through the fingerprint of the biometric system. Later they called this information to Bangladesh and told the family of the deceased.&lt;/p&gt;.&lt;p&gt;Aqikul Islam also said that while performing Umrah, his father got separated from the caravan and he did not have any visa passport. It took four days to arrive. Asking everyone to pray for his father, Akiq said, next Monday, his father's body will be buried in Jannatul Mualla cemetery in Makkah city.&lt;/p&gt;",Specific,15-09-2024, 9:30 a.m.,1,0," Near the Prophet's house in Makkah, Saudi Arabia", Road, Yes,car
"Two passenger buses collide in Chittagong, 12 injured",https://www.prothomalo.com/bangladesh/district/yihg0a0vfh,20-09-2024,"&lt;p&gt;Two passenger buses collided head-on in C&B area of ​​Chittagong city. The accident took place in front of Usmania Glass Sheet Factory Limited at around 9 am on Friday. Hospital authorities have confirmed that 12 people have been brought to Chittagong Medical College Hospital till 12:30 in the incident. &lt;/p&gt;.&lt;p&gt;Police said, a bus coming from the city's Kalurghat road collided head-on with a bus heading towards C&B. Two bus passengers were injured on the spot. A bus operates on Kalurghat Patenga route in Nagar. The other is the head of Kaptai road from Newmarket. Two buses used to bring and take workers to factories in C&B area. 12 people were brought to Chittagong Medical College Hospital in the incident. But police say the number of injured could be higher. Quoting local people, the police said that some of the injured were treated at nearby pharmacies. There is no list of injured persons.&lt;/p&gt;.&lt;p&gt; Sub-Inspector of Chandgaon Police Station, who was at the scene, Suman Barua told Prothom Alo that two buses are coming to the scene. Two buses used to bring workers from two factories. The owner has been contacted. They said they are in the hospital. Action will be taken if they take legal action.&lt;/p&gt;",Specific,20-09-2024, 9:00,0,12," C&B area, Chittagong city", Road, No,Bus - Bus
534 people died in 490 accidents across the country in August,https://www.prothomalo.com/bangladesh/l5ke0c982y,19-09-2024,"&lt;p&gt;Last August, 490 accidents occurred on road, rail and waterways across the country. And 534 people were killed and 989 injured in these accidents. &lt;/p&gt;&lt;p&gt;This information was informed in a press release sent by Bangladesh Passenger Welfare Association on Thursday. The road accident monitoring cell of the organization prepares reports based on the accident news published in national and regional newspapers and online news portals. According to the press release signed by Mozammel Haque Chowdhury, 476 people were killed and 985 injured in 467 road accidents in the country last August. 8 people were killed and 2 injured in 10 railway accidents. And in 13 accidents on the waterway, 50 people were killed, 2 were injured and 9 were missing. &lt;/p&gt;&lt;p&gt; Last month, the most number of road accidents occurred in Dhaka division, the notification said. 117 road accidents occurred in that section. 121 people were killed and 261 injured in these accidents. Barisal division has the least number of road accidents. 26 people were killed and 93 injured in 27 road accidents in this section.&lt;/p&gt;.&lt;p&gt; According to the press release, 90 drivers, 75 pedestrians, 39 transport workers, 54 students, 66 women, 49 children, 12 leaders-activists of various political parties, 3 journalists, 1 member of the law enforcement force, 1 teacher, 1 lawyer are there. Public transport drivers, 74 pedestrians, 55 women, 43 children, 33 students, 17 transport workers, leaders of various political parties, 11 leaders and workers, 1 member of the police, 1 teacher, 1 journalist and 1 lawyer. .&lt;/p&gt;.&lt;p&gt;More than 31 percent of road accidents were motorcycle accidents, more than 21 percent were truck-pickup-covered vans and lorries and more than 10 percent were bus accidents.&lt;/p&gt;&lt;p&gt; 41.54 percent of the total accidents that occurred were car crashes. Analysis of the types of accidents shows that 33.83 percent of the total accidents occurred on national highways, 20.77 percent on regional highways, 39.18 percent on feeder roads.&lt;/p&gt;",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Teacher dies in road accident while going to school in Gazipur,https://www.prothomalo.com/bangladesh/district/iqrle7n5c3,17-09-2024,"&lt;p&gt;Primary school headmaster dies in road accident while going to school in Gazipur's Kapasia. The accident took place on Tuesday morning at 9:30 am in the upazila's Gazipur-Kapasia regional road in Chermarta area. The deceased teacher's name is Siddika Begum (48). She is the head teacher of Kazahaji Government Primary School of Chandpur Union of Kapasia Upazila and wife of Ataur Rahman of Moushadhamna village of Kapasia Upazila. She was going to school on a motorcycle with her husband. Her husband Ataur Rahman was seriously injured in the accident and is undergoing treatment at the hospital.&lt;/p&gt;.&lt;p&gt;Local people said that there was a head-on collision between two motorcycles in Chermarta area. The head teacher was going to school with her husband on a motorcycle. A total of four people on two motorcycles were thrown on the road in the collision. Among them, the head teacher Siddika Begum died on the spot. On the other hand, the head teacher's husband was taken to Shaheed Tajuddin Ahmad Medical College Hospital in Gazipur with serious injuries. Apart from this, his relatives took two other people from the other motorcycle to the hospital in the accident. Their identity is not known. &lt;/p&gt;.&lt;p&gt; Officer-in-charge of Kapasia Police Station. Kamal Hossain told Prothom Alo, ""I heard that a primary school teacher died in a road accident. This is being looked into.'&lt;/p&gt;",Specific,17-09-2024, 9:30 am,1,3," Chermarta area, Kapasia, Gazipur", Gazipur-Kapasia regional road, No,Motorcycle-Motorcycle
