News Title,News Link,Publish Date,Description,Report Type,Gemini_responses
"A young man was killed by a bus in Gazipur, three buses were set on fire by angry people",https://www.prothomalo.com/bangladesh/district/lrd12hd9xt,2/10/2024,"&lt;p&gt;Dhaka-Mymensingh highway, a young man was killed by a bus in Bogra bypass area of ​​Gazipur city. After this incident on Wednesday at 9:30 pm, the local crowd set fire to three buses. &lt;/p&gt;&lt;p&gt;Police and local people said that a young man was going towards Tongi on a motorcycle from Gazipur city. After arriving at Columbia Garments area of ​​Bogra Bypass of the metropolis at around 9:30 PM, the bus collided with the Balaka Paribahan heading to Gazipur from Dhaka. The young man on the motorcycle was crushed under the bus and died on the spot.&lt;/p&gt;.&lt;p&gt;At that time, workers of nearby factories and excited crowd set fire to three buses of Balaka Paribahan. Gazipur fire service members came to the spot after receiving the news. However, due to the excited crowd, they returned without extinguishing the fire. &lt;/p&gt;. The driver dragged the pedestrian for a kilometer and set fire to the bus. A bus was completely burnt. The other two are on fire. The fire service vehicle could not reach the spot due to the crowd of excited people. &lt;/p&gt;&lt;p&gt; Inspector (Investigation) Nandalal Chowdhury of Gazipur's Basan police station said that a young man died on the spot after being crushed by the bus. His identity was not immediately known. Local people sent him to the hospital. Due to this incident, the excited crowd set fire to three buses of Balaka Paribahan. Even though the fire service came on being informed, they went back without extinguishing the fire due to the fear of the crowd.&lt;/p&gt;",Specific,Specific<sep>02 অক্টোবর ২০২৪<sep>02 অক্টোবর ২০২৪<sep>রাত সাড়ে নয়টায়<sep>1<sep>0<sep>গাজীপুর মহানগরীর বগুড়া বাইপাস এলাকা<sep>Highway<sep>Yes<sep>Bus-Motorcycle<sep>Gazipur
A female garment worker died after being hit by a truck on her way to work,https://www.prothomalo.com/bangladesh/district/2cl7ysf369,2/10/2024,"&lt;p&gt;A woman garment worker named Jhumur Akhtar (18) died after being run over by a truck in Bitak Mor area of ​​Sagarika road in Chittagong city. The incident took place at the Bangladesh Industrial Technical Assistance Center (BITAK) intersection of Pahartali Police Station at around 9 am on Wednesday. According to local sources, two people were injured in the incident, but the police could not confirm it. &lt;/p&gt;&lt;p&gt;Chittagong Medical College Police Outpost Deputy Inspector Nurul Alam confirmed the death of the garment worker in the accident. He said, in a road accident, a woman was declared dead by the on-duty doctor. &lt;/p&gt; Nasir's daughter. He used to rent a house with his brother and sister-in-law in Phaillatali area of ​​Pahartali police station. &lt;/p&gt;&lt;p&gt; According to the police, Jhumur worked in a garment factory in Bitak area. He was going to work in a battery-powered auto-rickshaw this morning. At that time, a truck coming from the opposite direction (Sagrika Road) hit the rickshaw. Jhumur Akter was seriously injured. He later died in hospital. Locals say that a few others were injured in the incident. &lt;/p&gt;.&lt;p&gt; Sub-inspector of Pahartali police station, who was present at the scene, told Prothom Alo that the body of the deceased is in Chittagong Medical College Hospital. The body will be handed over to the family after the post-mortem. Locals say that two people were injured in this incident. But no confirmed information was found.&lt;/p&gt;",Specific,Specific<sep>02 অক্টোবর ২০২৪<sep>02 অক্টোবর ২০২৪<sep>সকাল ৯টার দিকে<sep>1<sep>2<sep>সাগরিকা সড়কের বিটাক মোড় এলাকা<sep>Urban street<sep>Yes<sep>truck-auto rickshaw<sep>চট্টগ্রাম
Two youths of Sylhet were killed in a road accident in Qatar,https://www.prothomalo.com/bangladesh/district/3z9ne3urgx,1/10/2024,"&lt;p&gt;Two youths of Sylhet were killed in a road accident in Qatar. Another youth was injured in the same accident. The accident took place in Sanaiya area of ​​Qatar at around 10 am on Tuesday.&lt;/p&gt;.&lt;p&gt;The deceased youths are Farooq Ahmad of Amarpur village of Jhingabari union of Kanaighat upazila of Sylhet and Mohammad Ali of Gardnakandi village of the same union. The name of the injured youth is Juned Ahmed. He is also a resident of Gardnakandi village.&lt;/p&gt;.&lt;p&gt; Confirming the accident, Jhingabari Union Parishad (UP) Chairman Abu Bakar told Prothom Alo that Farooq Ahmad is the cousin of Abdul Latif, a UP member of Jhingabari. He learned about it through him. Quoting the relatives, the chairman said that on the way to work in Qatar, the car transporting the three lost control and collided with the railing of the bridge at around 10 am Bangladesh time today. At this time the car overturned. At that time Farooq Ahmed and Mohammad Ali were killed on the spot. Junaid Ahmad was injured.&lt;/p&gt;.&lt;p&gt;Abu Bakr also said that he left for the home of the dead youths after receiving the news. He also said to console the family members of the deceased and cooperate in the process of bringing the body back to the country through the next legal process. &lt;/p&gt;",Specific,Specific<sep>01 অক্টোবর ২০২৪<sep>01 অক্টোবর ২০২৪<sep>সকাল ১০টার<sep>2<sep>1<sep>কাতারের সানাইয়া এলাকা<sep>Not mentioned<sep>No<sep>car<sep>Foreign
Nischer demanded a new law called 'Road Safety Act',https://www.prothomalo.com/bangladesh/c32it4o9ud,1/10/2024,"&lt;p&gt;In order to make Bangladesh free from road accidents, a new law called 'Road Safety Act' has been demanded to be enacted. Ilyas Kanchan, chairman of Nischa, an organization agitating for roads.&lt;/p&gt;.&lt;p&gt;Ilyas Kanchan said in a press conference that in 2018, in view of the student movement, the then government passed the 'Road Transport Act-2018'. But the law has not been fully implemented even today. The law ignores the safety of road users. They repeatedly requested the government to name the Act as 'Road Transport and Road Safety Act'. But due to the pressure of the vicious circle, the word 'safety' was not kept in the law.&lt;/p&gt;&lt;p&gt;Nischar chairman said that his organization is strongly demanding the current government to enact a new law called 'Road Safety Act'. They believe that this law will ensure the safety of people's lives on the road. &lt;/p&gt;&lt;p&gt; Elias Kanchan called for the formation of 'Road Safety Unit' in all educational institutions of the country. He said, 'Road safety unit should be formed so that our future generation can learn the strategies to save their lives and others' lives from their education.'&lt;/p&gt;.&lt;p&gt;High level 'Road The Chairman of Nischa also demanded the formation of Safety Authority. He said, this authority (authority) will implement all that needs to be done to make Bangladesh free from road accidents. &lt;/p&gt;&lt;p&gt;Ilyas Kanchan said regretfully, when the government in the past has run the country, it is natural with the demands of road safety. They had to go. That does not mean that he or his organization is part of that government. Just to stifle their movement, a sinister circle has strategically applied a political 'tag'. When the government came to power, it was made by the people of the opposition. Such activities are still going on. It is said that he is a man of the fallen government. However, his organization has worked tirelessly for the welfare of the people of the country for 31 years. And his organization has been neglected-neglected by all governments. &lt;/p&gt;.&lt;p&gt;On the occasion of National Safe Road Day-2024, Ilyas Kanchan announced various programs of the organization for the month of October. The program includes- distribution of free helmets, distribution of awareness leaflets, student rallies, road warriors",General,General
"Covered van lost control and hit by fish, two businessmen killed",https://www.prothomalo.com/bangladesh/district/anl2meabtz,30-09-2024,"&lt;p&gt;Dinajpur's Ghoraghat, two fishmongers were killed when a covered van lost control and rammed into the fish market along the Dinajpur-Gobindganj regional highway. Apart from this, three more fish traders were injured. This accident happened in Raniganj market on Monday morning. In this incident, the driver of the covered van, Siddique Ali (40), was arrested from the spot by the police.&lt;/p&gt;&lt;p&gt;The deceased are Anwar Hossain (50) of Konchgram area of ​​Deor Union of Birampur Upazila and Abdul Ghaffar (68) of Kumarpur Chatra village of Pirganj Upazila of Rangpur. ). The injured persons are Al Amin of Dhawa village of Hakimpur upazila of the district, Enamul Haque of Kadipur village and Golam Mostafa of Mogarpara village of Nawabganj upazila. All of them are fish traders in the local market. &lt;/p&gt;. Besides four children lying in the grave forever, mourning in the village.&lt;p&gt; According to the police, quoting the local residents, several engine-driven vans were parked next to the fish market next to the highway in Raniganj market this morning. At around 7 am, a covered van speeding towards Dinajpur from Dhaka lost control and overturned those vans and entered the shelter. Several vans overturned and some were trapped under the covered vans. Later one dead and four injured were recovered from the spot. When they were taken to the local Ghoraghat Upazila Health Complex, the doctor declared Anwar dead. Enamul was sent to Rangpur Medical College Hospital and Mostafa to Dinajpur M Abdur Rahim Medical College Hospital for better treatment.&lt;/p&gt;.Four children lost their lives instantly when the microbus hit Kushtia. As there was no complaint from the family of the deceased, the body was handed over to the relatives. The covered van and its driver have been taken into police custody from the spot. A case is under process at the police station.&lt;/p&gt;",Specific,"Specific<sep>30 সেপ্টেম্বর ২০২৪<sep>30 সেপ্টেম্বর ২০২৪<sep>সকাল ৭টার দিকে<sep>2<sep>3<sep>রানীগঞ্জ বাজার, ঘোড়াঘাট<sep>আঞ্চলিক মহাসড়ক<sep>No<sep>কাভার্ড ভ্যান-ইঞ্জিনচালিত ভ্যান<sep>দিনাজপুর"
"Besides four children lying in the grave forever, mourning throughout the village",https://www.prothomalo.com/bangladesh/district/7iu143mc6o,30-09-2024,"&lt;p&gt;Tanzilah had already learned to read the Holy Qur'an. His elder sister Nusrat Islam aka Maria was supposed to start reading the Holy Quran from yesterday Sunday. To celebrate such a happy moment, they took two kilos of batasa from home and went to study in the nearby school. But after a while that happiness turned into sadness. These two sisters lost their lives on their way home from there. Along with that, two more children named Mim and Yuthi were killed in the same accident. &lt;/p&gt;&lt;p&gt;The accident took place on the Kushtia-Rajbari regional highway at Shimulia Kuthipara of Khoksa Upazila in Kushtia yesterday at around 7:30 am. In the afternoon, these children were buried in four graves in the local cemetery after the funeral at the Shimulia Kuthipara Eidgah ground. At this time, people of all classes and professions of the area gathered there. They were shocked by the news of such an unexpected accident. Another student named Fatema was injured in the accident and is undergoing treatment at Kushtia General Hospital. All the injured in the accident are residents and neighbors of Shimulia Kuthipara village.&lt;/p&gt;.Four children died instantly when the microbus hit Kushtia.&lt;p&gt;Abdul Haq, the only teacher of the Maktab and Imam of Kuthipara Mosque, was staying in the mosque at the time of the accident. Suddenly he heard a loud noise. He hurriedly came out and saw that his five students were lying in a bloody state. He said, after finishing teaching, around 6:30 in the morning, he gave leave to 13 students of Maktab together. Like every day everyone was returning home. And since the houses of the injured students were in the same direction, they were returning together. That's when the accident happened.&lt;/p&gt;&lt;p&gt;Some eyewitnesses said that the children were returning home on the right side of the road after school. At that time, the driver who was going to Kushtia lost control and overturned the microbus on the children. Five children were buried in it. One of them died on the spot. And three more died on the way to the hospital.&lt;/p&gt;.&lt;blockquote&gt;Some eyewitnesses said that the children were returning home on the right side of the road after school. At that time, the driver who was going to Kushtia lost control and overturned the microbus on the children. Five children were buried in it. One of them died on the spot. And three more died on the way to the hospital.&lt;/blockquote&gt;.&lt;p&gt;Palan Mia and Najma Khatun couple sent Tanjila and Maria to study in the Maktab near the house to acquire religious knowledge besides general education. The dream of this farmer couple was that the girls would learn and grow up",Specific,"Specific<sep>30 সেপ্টেম্বর ২০২৪<sep>29 সেপ্টেম্বর 2024<sep>সকাল সোয়া সাতটা<sep>4<sep>1<sep>শিমুলিয়া কুঠিপাড়া, কুষ্টিয়া-রাজবাড়ী আঞ্চলিক মহাসড়ক<sep>Highway<sep>Yes<sep>Microbus<sep>কুষ্টিয়া"
"In Kushtia, four children lost their lives instantly due to the pressure of the microbus",https://www.prothomalo.com/bangladesh/district/gg9va7b77z,29-09-2024,"&lt;p&gt;Four children were killed by a microbus on their way home from Maktab. The accident took place in Shimulia Kuthipara village area of ​​Khoksar on the Kushtia-Rajbari regional highway at around 7:30 am on Sunday. &lt;/p&gt;&lt;p&gt;Two of the dead children are sisters. A seriously injured child has been sent to Dhaka for better treatment. After the accident, the local residents protested by blocking the road for about four hours.&lt;/p&gt;.&lt;p&gt;The four children killed are Tanzila Akhtar (14) and Maria Khatun (11), daughter of Palna Sheikh of Kuthipara area, Mim Khatun, daughter of Hanif Sheikh. (12) and Helal's daughter Yuthi Khatun (9). Injured Fatema Khatun (9) daughter of Anarul Islam. &lt;/p&gt;&lt;p&gt;Kushtia Chaudhary Highway Police Station - According to police sources, a microbus with expatriate passengers from Dhaka was going to Chuadanga. At that time, some children from a local school in Khoksa Shimulia area were returning home on the right side of the road. Around seven thirty in the morning the microbus suddenly moved from left to right. A child died on the spot after being crushed. Nearby people rescued others from under the car and sent them to different hospitals. Among them, one died at Khoksa Upazila Health Complex and two died at Kushtia General Hospital. &lt;/p&gt;.&lt;p&gt;Abdul Haque, the Imam of Thipar Mosque and the only teacher of the Maktab, said that he was in the mosque after giving leave to about 13 students of the Maktab around 6:30 in the morning. . He came out after suddenly hearing a loud noise. He came out and saw the accident. &lt;/p&gt;&lt;p&gt; Chaudhary Highway Police Officer-in-Charge (OC) Akul Chandra Biswas told Prothom Alo that the children were returning home on the right side of the road. At that time, the driver of the Kushtia-bound microbus from Dhaka went from the wrong side to the right side and quickly hit the children. One child died on the spot and the other three died on the way to the hospital. The driver fled. Legal action will be taken if a case is filed.&lt;/p&gt;.&lt;p&gt;While rescuing the children who were buried under the car, the car fell into the water of the nearby ditch. But the car driver ran away. Passengers were not harmed. Local people blocked the road with bamboo in the incident of children's loss of life. After about four hours, the traffic of police support vehicles was normalized. Confirming the matter, Khoksa Police Station OC Annur Zaid told Prothom Alo that the road was blocked for four hours. The situation is normal. The bodies were taken to four villages.&lt;/p&gt;",Specific,"Specific<sep>29 সেপ্টেম্বর ২০২৪, ১০: ০০<sep>29 সেপ্টেম্বর 2024<sep>সকাল সোয়া সাতটা<sep>4<sep>1<sep>খোকসার শিমুলিয়া কুঠিপাড়া গ্রাম এলাকা<sep>আঞ্চলিক মহাসড়ক<sep>Yes<sep>microbus<sep>কুষ্টিয়া"
A young man died in a road accident on his way back from a wedding ceremony,https://www.prothomalo.com/bangladesh/wnl3ju2twy,28-09-2024,"&lt;p&gt;A youth died in a collision between a motorcycle and a pickup van in Raujan, Chittagong. His name is Tauhidul Islam. He is the son of late Ayub Ali of Sambali house of Ward No. 4 of Noapara Union of Upazila. The accident took place in the Noapara College area of ​​the Chittagong-Kaptai road of the upazila at around one o'clock on Friday. &lt;/p&gt;.&lt;p&gt;According to local residents, the deceased Touhidul was a student of the private National Polytechnic Institute of Chittagong. He went to attend a wedding ceremony in Noapara area of ​​the upazila last night. He was returning from there on a motorcycle with a friend. Their motorcycle actually collided with a pickup van coming from the opposite direction in Nowapara College area of ​​Patherhat area. At that time, two fell from the motorcycle. Touhidul was taken to Chittagong Medical College Hospital with severe head injuries and the doctor declared him dead.&lt;/p&gt; Touhidul's body was buried in the family cemetery after Zohar prayer on Saturday. &lt;/p&gt; However, nothing has been reported from the family of the deceased.'&lt;/p&gt;",Specific,"Specific<sep>28 সেপ্টেম্বর ২০২৪<sep>27 সেপ্টেম্বর 2024<sep>1:00 AM<sep>1<sep>1<sep>নোয়াপাড়া কলেজ এলাকা, চট্টগ্রাম-কাপ্তাই সড়ক<sep>Highway<sep>No<sep>Pickup van-motorcycle<sep>Chattogram"
Even death could not separate the two friends,https://www.prothomalo.com/bangladesh/wohdwjnrui,28-09-2024,"&lt;p&gt;Motorcyclist Shahidul Islam (23) who was hit by a truck in Raujan of Chittagong succumbed to death. He died at Chittagong Medical College Hospital while undergoing treatment on Friday night. Earlier on Friday morning, a truck hit the motorcycle carrying Shahidul and his friend Minhajur Rahman Chowdhury (23) in Gahira area of ​​Raujan on Chittagong-Rangamati road. Minhazur Rahman died on the spot. Later that night Shahidul also died while under treatment.&lt;/p&gt;&lt;p&gt; Shahidul and Minhajur's house is in Satgharia Para village, ward number 8 of Rangunia upazila. There is an atmosphere of mourning in the area due to the death of two friends. Villagers say their words. From childhood, they grew up together and moved. Even death could not separate them.&lt;/p&gt;.&lt;p&gt;Talking to the family and local residents, it is known that last Thursday night, Minhajur and his friend Shahidul went to Maijbhandar Durbar in Fatikchari upazila on a motorcycle. On their way back early the next morning, a truck coming from the opposite direction hit their motorcycle in Gahira area. At that time, two motorcyclists fell on the road and were seriously injured. When they were rescued and taken to Raujan Upazila Health Complex, the doctor on duty declared Minhajur dead. The injured Shahidul died at the Chittagong Medical College Hospital at around 11 pm. A few months ago he came to the country on vacation. He was scheduled to return to the UAE on October 6. Such a calamity in the family threw everything into disarray for him. The expatriate father cannot accept the death of his son. He said, 'Minhajur has a one and a half year old daughter. He became an orphan before he knew his father properly. After the funeral at three o'clock yesterday, Minhajur Rahman's body was buried in the family cemetery. &lt;/p&gt;.&lt;p&gt;Minhajur's friend Shahidul worked as a sales employee of a food distribution company. His father Khorshed Alam said that the body was buried after the janaza of Shaheedul at around 11 o'clock today. Handed over to family.&lt;/p&gt;",Specific,"Specific<sep>28 September 2024<sep>27 September 2024<sep>Not mentioned<sep>2<sep>2<sep>Gahira, Rauzan, Chattogram<sep>Highway<sep>No<sep>Motorcycle-truck<sep>Chattogram"
Not one of the 38 pedestrian-bridges at dangerous intersections,https://www.prothomalo.com/bangladesh/g9oppv5ac3,27-09-2024,"&lt;p&gt;Gate No. 2 is one of the busiest junctions in Chittagong city. Every day, thousands of people risk crossing the road through the crossroads. Chittagong City Corporation has taken the initiative of constructing two footover bridges at the intersection for safe crossing. On September 25 of last year, the foundation stone of the construction work was laid by the then mayor Md. Rezaul Karim Chowdhury. A year has passed but still the work has not started. It remains a risk to pedestrians crossing the road. &lt;/p&gt;&lt;p&gt;The city corporation took the initiative to construct 38 pedestrian-bridges at 31 busiest junctions and areas of the city, including gate number 2. But three and a half years have passed since the approval of the project, but the work of 27 has not started. The work of 11 has started but none of them have been completed. The work of four has been stopped in the middle.&lt;/p&gt;&lt;p&gt;Due to the mismanagement of the road, Chittagong city has become dangerous for pedestrians to cross the road and move. According to the report published in September last year on the road safety of Chittagong city, 263 people lost their lives in road accidents in the city in three years (2020-23). 56 percent of them were pedestrians. Chittagong City Corporation, Chittagong City Police and Vital Strategies, in collaboration with the Bloomberg Philanthropies Initiative for Global Road Safety (BIGRS), released this report on the city's safe roads. ;/strong&gt;&lt;/p&gt;&lt;p&gt;38 pedestrian-bridges were supposed to be constructed under the project titled 'Different road development and important infrastructure development including airport road under Chittagong City Corporation'. On January 4, 2022, the project was approved by the Executive Committee of the National Economic Council (ECNEC). The total cost of the project is estimated at 2 thousand 490 crore 96 lakh 69 thousand taka. Out of this, 58 crores have been allocated for the construction of footbridges. The project is scheduled to expire on December 31 this year. However, on June 5, the period was extended for another two years.&lt;/p&gt;&lt;p&gt; According to City Corporation sources, the development project proposal (DPP) mentions that 11 pedestrian-bridges will be constructed on the road from Lalkhan Bazar to Patenga Seashore in the city. was done Two pedestrian-bridges will be constructed at Tigerpass, GEC, Sholoshahar Gate 2, Oxygen, Bahaddarhat, Alankar and City Gate junctions. &lt;/p&gt;&lt;p&gt;Besides Lalkhanbazar, Dewanhat, Chaumuhani, Badamtali, Barik Building, Nimtala, Saltgola Crossing",General,General
Expatriate youth died in a road accident while coming home on vacation,https://www.prothomalo.com/bangladesh/district/g8ua59cf4n,27-09-2024,"&lt;p&gt;A motorcycle rider died after being hit by a truck in Raujan Upazila of Chittagong. His name is Minhaj Rahman (23). He is the son of Mofiz Chowdhury of Sataghiapara of Rajanagar Union of Rangunia Upazila. The accident took place on Chittagong-Rangamati road in Gahira area of ​​Raujan on Friday morning. One more person was injured in the same accident. &lt;/p&gt;.&lt;p&gt; According to family and local residents, last Thursday night Md. Minhaj went to Maijbhandar Darbar in Phatikchari upazila with a friend named Shahid. On the way back from there in the early morning, a truck coming from the opposite direction hit their motorcycle. At that time, two motorcyclists fell on the road and were seriously injured. When they were rescued and taken to Raujan Upazila Health Complex, the doctor on duty declared Minhaj dead. Md. Under treatment at Shaheed Hospital.&lt;/p&gt;.&lt;p&gt;Minhaj Rahman is a resident of UAE. A few months ago he came to the country on vacation. He was scheduled to return to the UAE on October 6. Minhaj Rahman has a three-year-old daughter. The body of Minhaj was buried in the family cemetery after the funeral at three o'clock. &lt;/p&gt;&lt;p&gt;Obaidul Haque, officer in charge of Raujan Highway Police Station, confirmed the death of Minhaj Rahman in the accident. He said, on the request of the family, the body of the deceased Minhaj has been allowed to be buried without post-mortem.&lt;/p&gt;",Specific,"Specific<sep>27 September 2024<sep>27 September 2024<sep>Early morning<sep>1<sep>1<sep>Gahira area, on the Chittagong-Rangamati road, Rauzan<sep>Highway<sep>No<sep>Motorcycle-truck<sep>Chittagong"
"""It's been hard to come this far, now it's all over""",https://www.prothomalo.com/bangladesh/district/4ub49je5bh,26-09-2024,"&lt;p&gt;'I give Kamala the next house. He (Monir) used to lead the mosque and earned four thousand rupees a month. There was also a tuition. On days when I didn't have work, I used to take money from him. And sometimes I used to give it to him. It was hard to come this far. Now everything is dry.''&lt;/p&gt;&lt;p&gt;Billal Hossain, father of Islamic University student Monir Hossain (20), who died in a road accident, was speaking at a shop in Holbazar area of ​​Kumarkhali upazila of Kushtia on Thursday. Their house is in Khyerchara area of ​​Kumarkhali Municipality. &lt;/p&gt;.&lt;p&gt;Billal Hossain said, 'I have no complaint. His forehead was written till now. He said that his son Monir was a very good person. Wanted to be Maulana. But he wanted Monir to get a job after completing his studies. Take hold of the world of hardship. The younger son used to say, 'Brother, one day you will get a job and buy Punjabi.'&lt;/p&gt;&lt;p&gt;It is known that Monir Hossain Kumarkhali completed Dakhil and Alim from Fazil Madrasa and enrolled in Arabic language and literature department of Islamic University in 2022-23 academic year. be A Mahindra car collided head-on with a drum truck in the Kalurmor area of ​​Kumarkhali on the Kushtia-Rajbari regional highway last Wednesday afternoon. A police sub-inspector named Shahidul Islam was killed along with the student. Seven people were injured in the accident and are undergoing treatment in the hospital. Monir was returning home after completing his university classes.&lt;/p&gt;.&lt;p&gt;Apart from his studies, Monir was the imam of Tebaria Three Dome Mosque in Kumarkhali. Mother Manjura Khatun is a housewife. Monir is the eldest among four siblings. One of the two younger sisters is married. Another sister Rumana Khatun is in class 10 and younger brother Hossain is in class 1.&lt;/p&gt;&lt;p&gt;Billal Hossain, Monir's father said, there are two small tin shed houses in the homestead of 16 percent land. He did that a few days ago. Little by little Monir gave half of it. There is no land in the field. Monir used to support the family by providing imam and tuition.&lt;/p&gt;.&lt;p&gt;Billal said about the accident, 'I have no complaint. There is no demand. What was on the forehead, happened. I will not oppress. If someone (trakmalik) gives something willingly, I will accept it. Monir was buried at Tebaria Social Cemetery around 11 o'clock today.'&lt;/p&gt;&lt;p&gt; Shafiqul Alam, a businessman resident of Khyerchara village, said Monir was the best son in the area. Only university education",Specific,Specific<sep>26 September 2024<sep>25 September 2024<sep>Not mentioned<sep>2<sep>7<sep>KumarKhali's Kalur Mor area on Kushtia-Rajbari regional highway<sep>Regional highway<sep>No<sep>Drum truck-Mahindra<sep>Kushtia
"In Ramu District Commissioner's car collided with a motorcycle, pedestrian child died",https://www.prothomalo.com/bangladesh/district/o43ft6ac0z,26-09-2024,"&lt;p&gt;A motorcycle collided with the Deputy Commissioner's car at Ramu in Cox's Bazar. A pedestrian child and his mother were crushed by the motorcycle. The child died in this incident. His mother was seriously injured.&lt;/p&gt;&lt;p&gt;The name of the child killed in the accident is Mohammad Tanzim (2). He is the son of Mohammad Shaheen of Saderpara, South Mithachari Union of Ramu Upazila. The child's mother Rubina Akhtar (32) was seriously injured in the incident. The incident took place at Kaimmaryarghona area of ​​Dakshin Mitachhari Union of Ramu Upazila at 9:30 am on Thursday. &lt;/p&gt; When the vehicle carrying them reached Kaimmaryghona area of ​​Ramu Upazila, it collided with a speeding motorcycle. The motorcycle twisted and fell on the pedestrian mother and child. The mother and child were seriously injured in the incident. Later, the Deputy Commissioner rescued the injured people in a car with the help of local people and took them to Cox's Bazar District Headquarters Hospital. At that time, the doctor on duty at the hospital declared the child dead. &lt;/p&gt;&lt;p&gt; The district administrator also said, 'The motorcycle involved in the accident was on the right side of the car carrying us. But the motorcycle suddenly turned left at a reckless speed and collided with our car. This accident has occurred. Local administration will be with the family of the victim said Deputy Commissioner Mohammad Salahuddin. &lt;/p&gt;.&lt;p&gt;Resident Medical Officer (RMO) of Cox's Bazar District Sadar Hospital. Ashikur Rahman told Prothom Alo that the child died before being brought to the hospital. His mother's condition is critical and has been sent to Chittagong Medical College Hospital for better treatment.&lt;/p&gt;",Specific,"Specific<sep>26 September 2024<sep>26 September 2024<sep>9:30 AM<sep>1<sep>1<sep>Kaimmyarghona, South Mithachari Union, Ramu<sep>Not mentioned<sep>Yes<sep>Car-motorcycle<sep>Cox's Bazar"
Three women were killed when a bus carrying workers was hit by a truck in Manikganj,https://www.prothomalo.com/bangladesh/district/lc6lnu44yn,26-09-2024,"&lt;p&gt;Three women were killed in a collision between a bus carrying garment workers and a goods truck in Manikganj's Shivalay. At least 20 workers were injured. The accident took place at Bowali area of ​​Dhaka-Aricha highway on Thursday morning.&lt;/p&gt;&lt;p&gt;The deceased garment workers are Bithi Akhtar (28), wife of Iqbal Hossain of Narayan Teota village of Shivaloy Upazila, Fuli Akhtar (28), wife of Abdul Baten of Samejghar Teota village. 32) and Sabina Akhter (20) daughter of Ayub Ali of the same village. The police recovered their bodies and sent them to the Shivalay Upazila Health Complex. &lt;/p&gt;.&lt;p&gt; According to the Barangail Highway Police Outpost and local sources, the bus carrying garment workers left from Aricha Ghat area of ​​Shivalay towards the factory at around 7:30 this morning. All of them are workers of a garment factory named Tarasima Apparels Limited in Nayadingi area of ​​Saturia upazila of Manikganj. They left for work. Later this morning at around seven in the morning, the bus collided with a goods truck in Bowali area of ​​Dhaka-Aricha highway. Most of the right side of the bus was twisted and the truck overturned in the water. In this incident, two women workers in the bus were killed on the spot. Apart from this, another female worker died on the way to the local upazila health complex. At least 20 workers were injured in the incident. They have been sent to Upazila Health Complex, District Headquarters Hospital and Munnu Medical College Hospital. The condition of some of them is critical, said the police of Barangail highway outpost. &lt;/p&gt;.&lt;p&gt; Shammi Akhter, the doctor on duty at the emergency department of Shivaloy Upazila Health Complex Hospital, said that the actual number of injured patients has not yet been determined. However, so far more than 20 patients have been advised to be taken to the district headquarters hospital for first aid. &lt;/p&gt;&lt;p&gt; Deputy Inspector (SI) of Barangayal Highway Outpost Anwar Hossain said that preparations are underway for a case at the local police station.&lt;/p&gt; ;",Specific,Specific<sep>26 September 2024<sep>26 September 2024<sep>Seven o'clock in the morning<sep>3<sep>20<sep>Boali area on Dhaka-Aricha highway<sep>Highway<sep>No<sep>bus-truck<sep>Manikganj
